year,hs2,cou,exports,imports,tradebalance
2000,20,Prince Edward Island,207102358.0,,207102358.0
2000,20,Quebec,84305622.0,187543490.0,-103237868.0
2000,20,Saskatchewan,275136.0,7044968.0,-6769832.0
2000,20,Total All Countries,970401838.0,1208512345.0,-238110507.0
2000,21,Alberta,15561327.0,44154061.0,-28592734.0
2000,21,British Columbia,56082281.0,150583111.0,-94500830.0
2000,21,Manitoba,1414473.0,46952785.0,-45538312.0
2000,21,New Brunswick,303330.0,2985938.0,-2682608.0
2000,21,Newfoundland and Labrador,133389.0,112846.0,20543.0
2000,21,Nova Scotia,3464128.0,916649.0,2547479.0
2000,21,Ontario,576857494.0,656598138.0,-79740644.0
2000,21,Prince Edward Island,98313.0,,98313.0
2000,21,Quebec,166200265.0,64379733.0,101820532.0
2000,21,Saskatchewan,1899050.0,11405752.0,-9506702.0
2000,21,Total All Countries,822024336.0,978089013.0,-156064677.0
2000,21,Yukon Territory,10286.0,,10286.0
2000,22,Alberta,64498128.0,215674288.0,-151176160.0
2000,22,British Columbia,100608635.0,214804778.0,-114196143.0
2000,22,Manitoba,4624413.0,38561333.0,-33936920.0
2000,22,New Brunswick,22487569.0,17191158.0,5296411.0
2000,22,Newfoundland and Labrador,1229746.0,9351824.0,-8122078.0
2000,22,Nova Scotia,1812672.0,22392777.0,-20580105.0
2000,22,Ontario,1009296055.0,819041334.0,190254721.0
2000,22,Prince Edward Island,,1821465.0,-1821465.0
2000,22,Quebec,251423479.0,472237477.0,-220813998.0
2000,22,Saskatchewan,452637.0,20432565.0,-19979928.0
2000,22,Total All Countries,1456433334.0,1831514180.0,-375080846.0
2000,22,Yukon Territory,,5181.0,-5181.0
2000,23,Alberta,146245364.0,52593636.0,93651728.0
2000,23,British Columbia,93856431.0,128350850.0,-34494419.0
2000,23,Manitoba,38637854.0,106064389.0,-67426535.0
2000,23,New Brunswick,38421294.0,15143668.0,23277626.0
2000,23,Newfoundland and Labrador,,353788.0,-353788.0
2000,23,Nova Scotia,1422002.0,6732836.0,-5310834.0
2000,23,Ontario,329132487.0,497229191.0,-168096704.0
2000,23,Prince Edward Island,49548.0,122.0,49426.0
2000,23,Quebec,64420870.0,72923864.0,-8502994.0
2000,23,Saskatchewan,61588308.0,49866231.0,11722077.0
2000,23,Total All Countries,773774158.0,929260812.0,-155486654.0
2000,23,Yukon Territory,,2237.0,-2237.0
2000,24,Alberta,,11631042.0,-11631042.0
2000,24,British Columbia,7527972.0,1904620.0,5623352.0
2000,24,Manitoba,59770.0,168728.0,-108958.0
2000,24,New Brunswick,,24438.0,-24438.0
2000,24,Newfoundland and Labrador,,54478.0,-54478.0
2000,24,Nova Scotia,115654.0,221107.0,-105453.0
2000,24,Ontario,100442112.0,52427198.0,48014914.0
2000,24,Prince Edward Island,630998.0,182683.0,448315.0
2000,24,Quebec,35728092.0,17474754.0,18253338.0
2000,24,Saskatchewan,,13240.0,-13240.0
2000,24,Total All Countries,144504598.0,84102288.0,60402310.0
2000,25,Alberta,316321657.0,64681968.0,251639689.0
2000,25,British Columbia,155042365.0,93459558.0,61582807.0
2000,25,Manitoba,9697792.0,9902627.0,-204835.0
2000,25,New Brunswick,9832099.0,22724960.0,-12892861.0
2000,25,Newfoundland and Labrador,15593278.0,412237.0,15181041.0
2000,25,Northwest Territories,82.0,,82.0
2000,25,Nova Scotia,118738909.0,14423189.0,104315720.0
2000,25,Ontario,527761450.0,305230467.0,222530983.0
2000,25,Prince Edward Island,95509.0,,95509.0
2000,25,Quebec,289699339.0,179590795.0,110108544.0
2000,25,Saskatchewan,778300.0,21031873.0,-20253573.0
2000,25,Total All Countries,1443560780.0,711460049.0,732100731.0
2000,25,Yukon Territory,,2375.0,-2375.0
2000,26,Alberta,2748862.0,5559249.0,-2810387.0
2000,26,British Columbia,669490644.0,187409169.0,482081475.0
2000,26,Manitoba,11091870.0,27478160.0,-16386290.0
2000,26,New Brunswick,115809439.0,71681799.0,44127640.0
2000,26,Newfoundland and Labrador,596741991.0,384349.0,596357642.0
2000,26,Northwest Territories,3140988.0,,3140988.0
2000,26,Nova Scotia,380088.0,361560372.0,-361180284.0
2000,26,Nunavut,272573309.0,,272573309.0
2000,26,Ontario,250194497.0,490628580.0,-240434083.0
2000,26,Quebec,621922990.0,709744892.0,-87821902.0
2000,26,Saskatchewan,1687235.0,2721229.0,-1033994.0
2000,26,Total All Countries,2545874900.0,1857169659.0,688705241.0
2000,26,Yukon Territory,92987.0,1860.0,91127.0
2000,27,Alberta,34620963413.0,202425994.0,34418537419.0
2000,27,British Columbia,6130122068.0,918588624.0,5211533444.0
2000,27,Manitoba,1260434462.0,59657913.0,1200776549.0
2000,27,New Brunswick,2436656425.0,2980329781.0,-543673356.0
2000,27,Newfoundland and Labrador,1798863832.0,1403411791.0,395452041.0
2000,27,Nova Scotia,821281833.0,1510790620.0,-689508787.0
2000,27,Ontario,2147650038.0,2159225832.0,-11575794.0
2000,27,Prince Edward Island,4214316.0,2123.0,4212193.0
2000,27,Quebec,1883394112.0,9260301251.0,-7376907139.0
2000,27,Saskatchewan,3401862410.0,62910018.0,3338952392.0
2000,27,Total All Countries,54506161172.0,18570954730.0,35935206442.0
2000,27,Yukon Territory,718263.0,13310783.0,-12592520.0
2000,28,Alberta,279591729.0,82826337.0,196765392.0
2000,28,British Columbia,190041043.0,356455357.0,-166414314.0
2000,28,Manitoba,69673696.0,31346871.0,38326825.0
2000,28,New Brunswick,33609376.0,63278437.0,-29669061.0
2000,28,Newfoundland and Labrador,50997.0,225488.0,-174491.0
2000,28,Northwest Territories,2594.0,298.0,2296.0
2000,28,Nova Scotia,281845.0,35040260.0,-34758415.0
2000,28,Ontario,1201258322.0,1135916743.0,65341579.0
2000,28,Prince Edward Island,59618.0,1142.0,58476.0
2000,28,Quebec,521769094.0,1214800523.0,-693031429.0
2000,28,Saskatchewan,196755984.0,24606540.0,172149444.0
2000,28,Total All Countries,2493094298.0,2944513978.0,-451419680.0
2000,28,Yukon Territory,,15982.0,-15982.0
2000,29,Alberta,1661968577.0,336843587.0,1325124990.0
2000,29,British Columbia,282941593.0,100964678.0,181976915.0
2000,29,Manitoba,36960823.0,147587884.0,-110627061.0
2000,29,New Brunswick,212854.0,83529569.0,-83316715.0
2000,29,Newfoundland and Labrador,,86295391.0,-86295391.0
2000,29,Nova Scotia,3920288.0,5337975.0,-1417687.0
2000,29,Ontario,1428250320.0,3132626867.0,-1704376547.0
2000,29,Prince Edward Island,4583341.0,5685.0,4577656.0
2000,29,Quebec,181609893.0,1050455252.0,-868845359.0
2000,29,Saskatchewan,8674948.0,52789475.0,-44114527.0
2000,29,Total All Countries,3609122637.0,4996436363.0,-1387313726.0
2000,30,Alberta,8235563.0,41184898.0,-32949335.0
2000,30,British Columbia,14567931.0,61774917.0,-47206986.0
2000,30,Manitoba,147834080.0,71376657.0,76457423.0
2000,30,New Brunswick,123071.0,906374.0,-783303.0
2000,30,Newfoundland and Labrador,12896.0,90865.0,-77969.0
2000,30,Nova Scotia,8893784.0,651238.0,8242546.0
2000,30,Ontario,964556479.0,3757422519.0,-2792866040.0
2000,30,Prince Edward Island,540842.0,,540842.0
2000,30,Quebec,638676732.0,1206432263.0,-567755531.0
2000,30,Saskatchewan,2362136.0,7188950.0,-4826814.0
2000,30,Total All Countries,1785803514.0,5147029131.0,-3361225617.0
2000,30,Yukon Territory,,450.0,-450.0
2000,31,Alberta,435821929.0,68198784.0,367623145.0
2000,31,British Columbia,32813958.0,62354427.0,-29540469.0
2000,31,Manitoba,56210589.0,92195853.0,-35985264.0
2000,31,New Brunswick,97987943.0,14884333.0,83103610.0
2000,31,Newfoundland and Labrador,143910.0,46.0,143864.0
2000,31,Nova Scotia,2929563.0,1799042.0,1130521.0
2000,31,Ontario,109073684.0,115613126.0,-6539442.0
2000,31,Prince Edward Island,6753105.0,19013560.0,-12260455.0
2000,31,Quebec,25125844.0,155391433.0,-130265589.0
2000,31,Saskatchewan,2418458391.0,30385101.0,2388073290.0
2000,31,Total All Countries,3185318916.0,559835705.0,2625483211.0
2000,32,Alberta,1836968.0,50431707.0,-48594739.0
2000,32,British Columbia,25791949.0,104026848.0,-78234899.0
2000,32,Manitoba,5362574.0,42568657.0,-37206083.0
2000,32,New Brunswick,252931.0,19590492.0,-19337561.0
2000,32,Newfoundland and Labrador,15406.0,147039.0,-131633.0
2000,32,Nova Scotia,1058429.0,1679939.0,-621510.0
2000,32,Ontario,623184778.0,1578073838.0,-954889060.0
2000,32,Prince Edward Island,85583.0,43978.0,41605.0
2000,32,Quebec,266748410.0,251871313.0,14877097.0
